cleaned_text,sentiment_numerical
cant believe guy gonna stay one day rio de janeiro,1
making boyfriend look different he cute matter,2
lol thx,2
working tonight,1
well go peace corp prospect,2
rmbr time torned night sentosa one didnt spit unknown fact abt,1
good idea ill remove old receipt tissue paper nonsense take pic,2
whatever,1
wango tango good night,1
im best financial situation moment im beyond broke money spend soon earn atm,0
hello totally go biggest shopping center europe go shopping together,1
fixing openbox theme little,1
selling laptop cheap anyones interested toshiba gig ram,1
recent experience anything go fear might going indian food good people good,0
wish wasnt bummed kinda,2
hey mitchel live didnt get chance call,0
looking sunshine office window,1
back sore done jump last night,0
working,1
bride la mode pow wow first thing morning past weekend lovely wedding fresh mind pic soon,2
got paycheck april bonus b deposited day rest gotta wait til mon,1
nope way stop put wiv,1
recommend returning broken duck toy batteis came person giving may get mad trust,1
much substitute variation ate much oof,1
beautiful weather u sick baby tanapolis,2
oui mademoiselle barely turn around day without bumping one,1
flickr pic chester zoo danwtmoon posted photo welcome chester zoo jockey,1
woke watched jon kate plus eight tried pretend like still normail family,1
youre freak,1
dont even know lenaaa going clothes show,1
jane yay buti nagustuhan nyo isang bar lang enclosed ko sa mail test matutunaw hindi next time uli,1
memory,1
yep nothing worry,2
back work tomorrow whose idea go back saturday oh wait would mine fail,0
going start small like slowly higher stake,1
make videoblog,1
reading evermore lynn viehl,1
wow storm power,2
getting phone back week yeeeewww,2
back school daily show amazing gonna watch later think xd,2
breez yer please good day,2
musicmonday epic song light sound yellowcard,1
hot cuppa coffee made milk fortified monins irish coffee syrup bliss,2
right im peep hope fix twitter mobile tweet race mtwitter day fail,2
anticipated meet tapan parikh apparently wont pas nairobi head straight mombasa,1
watching army wife always make cry,0
productive day,2
rest peace adam glenn epps gone never forgotten week loud da air ya,1
gotta love summer,2
marking going ok far b far relieved look like future programmer class,1
ala normal night monday quiz night,1
anyone go photographing today managed get macro shot flower blooming,1
buckley good morning sunny londonsounds like oxymoron happens true today hurrah,2
cool thatd fantastic,2
live stickamcomitstyleryo come chat,1
right like cape breton coal mine lesson learned,1
yes im quite rusty im hoping get back tune skill tim play guitar threaten duet,0
hey everybody hah day cool got back walk dog omgosh send link please,2
srry im interesting right stayed til cause tummy hurt im pooped work,0
might enough money college,0
lol woow okay big deal,1
love leave laptop bed creates nice toasty spot,2
mean someone hit dog car laying,1
start tomorrow going book sam forgot,0
salt vinegar cheese onion make breathe smell lol,0
youre welcome added already,2
rose mornin missed dance time guess dance extra hard tomorrow,1
sorry hear dude probs thats much,0
discovered numpy array hold value type useful manipulating array number uncertainty,0
maybe take drinking feel massive hangover still yself today,0
downloaded tweet decklook saviness,1
today friday really hope read message reply soon could reach phone go work,2
whatever know like hahahhah,2
oh fun weekend friend gone mother made family weekend,0
good morning twitterland happy monday,2
writing report,1
thanks timmy turn strep high fever,2
oh nice something nice next week going madrid next weekend day,2
keeping chilled,2
beautiful day got first class,2
fabulous didnt get pic gmail acting fool sometimes u dm,2
yeah terrible cockatoo hardest live emotional good thing found though,1
suck,0
yes,2
datti thanks sankar ur wish,2
love waking thinking weekday realizing weekend,2
sorry bout cat,0
youre person joined penilewords,1
washed im clothing type xd woooo,2
miss u im still clubu knowwest coast,0
love love love pot psycology friday night treat,2
happy star war day may fourth,2
playing lighter fire match grass,1
art would one awesome sauce,2
bucky ferret officially insulinoma daily prednisone interview pdoc today go back monday testing,1
ive never prague money itll first city visit,2
coffee time,1
creepy first really grow like cried like baby tosh died,1
really son screw ill talk msn later k xox,0
didntbut wait good twenty minute one good night though,2
always hope die see old one make sad,0
thanks alen seems submit community news error must prove,1
dont follow ruin twitter experience,0
blah car repair almost dollar shopping around better deal,0
weetabix choco milk yum,2
im sad lost another person close cancer,0
thanks kinda bittersweet though,1
nutbar good morning twittertakeover,2
first time twitter,1
captain jack back,1
la ben dream make saddddddd want togetherrr swear get bawlinggg help,0
internet fast slow fast connection go,1
year old barbie doll still rock itthat girl hot ken aint bad either memory,0
weather make finger numb still waiting,0
lol yeah ima mama thanks happy mama day lakers day love,2
doneits summer,1
genos hr ago would went pat neon light got lol drink south philly bar,1
fry bread good gave little pinch lettuce ha ha,2
wow effect thanks update,2
got today also miss friend,0
catching reading twitter n bf break,1
thats right remember fearless tweet seen fearless,1
thought dwell certain person,1
transition time tonight work night shift woke,1
gonna go work honey today exciting,2
aww thats bad lost though,0
new private acc use close twitter friend,1
hate going online looking balance bank always lot lower need,0
actually web work fine tweetdeck seems culprit sadness done two diff location,1
x geo isu go swear worse day ever,0
could empire dirt im ae dad im freezing fully shivering every else warm fones allowed ffs,0
tell think pride prejudice zombie youre hyped sugar,1
tdh install ruby gem rail keep please,1
ultimate training looking forward sunset,2
going work great day atleast get commin wahooooooo,2
good see back sorry happened,1
st mother day tomorrow,1
said darling happened fall asleep carry home cuz know wasnt goodnight twitterererers,2
clear whole office sign next place truck yet fully clean back seat lol,1
gonna storm said,1
broke ipod,0
bank something must wrong found july harlsil book wanted,0
haha state pride important,2
ugh say friend might swine flu omg,0
haha problem fun,2
finally got wash hair feel much better gotta dry effffffort,2
finally feel back swing thing work getting married last week sigh relief wedding planning,2
suck booo,0
hate untalented mean talented friend,1
look like rained weekend climbing,0
google map working anyone else,1
oh,0
dont really trust judgement vouches xo jk ill think becoming friend,0
jesus heals,2
surprising much billy idol turn tweet monitor constantly im obsessed anything billyidol,1
werd thats true,1
birthday well happy birthday,2
without wing,1
tweet thought remembered seeing one cant see glad teatree ok,2
night twitterland x five hour sigh,1
happy birthday hour minuet haha,2
lunch break going back work,1
glad see typical bank holiday weather wise going much today yeah right,2
hayley williams pretty much amazzing,2
app said need later,1
nothing,1
php website upgrade hell bank holiday hows planning,1
really good night missing little girl,0
miss captain,0
im sending mother,1
oi mocking fact dont cry tv thing feel badxxx,0
public cant get anyone follow,1
brings back everyone button access pt link bottom setting,1
boring talking lol,1
know right guess oldest doesnt hold rank field trip anymore,1
signed upso hello twitter world,1
wont getting rotf toy till much later tell anybody isntis worth getting,1
heading xbox go shopping morrow,1
saw calling cannot answer im second hour phone convo mom wont stop talking,1
excited,2
hmmm really thats weird idk one sowwy,0
oh look boring even boring exam saturday,0
practice beast today going see julian tonight,1
getting somewhere first real kiokudb catalyst app yay,1
thanks though trying positive wine may helping lol wish could make gig,2
think niece got sickee lame,0
rise shine time get prettifide,2
tried sooooo hard work home today failed fault though,0
gosh ive stinky old headache maybe lunchfast,0
glenna bored glad beautiful day macy went swimming kris played golf sat home waiting,1
bout drink imma head da house,1
get sucked true life steveo documentary intense love nice see people get life back,1
love life ni night twitter,2
knew meant,1
succesfully following tayla,2
new phrase never doubt mo williams six game win streak,1
fun tomorrow night think fun bar art gallery wish could,2
th please maybe shell get attempt win tomorrow,1
trying learn tweet good hope,2
bleargh never clean much house want work matter early wake today sink laundry,0
great social network site still growing,2
got paid hour could retire xbox live thinking rock band,1
learn walk day sprint sprinkler without stretching,1
soi half asleep wrote previous message greatest friend haha,2
im still trying see star trek ill woman go alone bf pretty much worthless anyway lol,1
law change could really push bcause gran bathgate u citizen b dad born,1
new follower pretty cool tweeps check em,2
work today went shopping relaxing learning toefl,2
watch arsenal v chelsea today,1
he getting ear tube hour food,1
yay asap lol awwh miss friday night happy hour even luna del sea boy hahahaha,0
left base loaded,1
cowboy westernshavent seen good luck,2
already,0
trying back document wasnt playing along taking forever back,1
test shooting later afternoon mention holland indie wine festival week tongue red,1
dad know got drunk today didnt get trouble,2
ill excuse love cavs west even though dont share,1
lol could try seriously tho dont suck,0
wanna see rest saw like minute,0
happy mother day mom love,2
burning cd outa blank disc,2
new album truly genius happy,2
youre alive go w notebookitll make cry stuff,0
okaii cool cant wait series begin guna awesome x,2
cry walk remember usual,0
hav follower,1
happy star war day everyone celebrate family ok celebrating going round famos,2
also certain cd camp certain somebody gave yeah there guy video thats really frickin hot,2
mother day,1
yay birthday sadly voice almost gone pretty good night,1
finally hit friend thanks,2
im part religion called peoplewithgoodtasteinmusic dont celebrate jonas brother day,1
im workbored mind,0
watching notebook,1
yes tax disguise booking fee commission online travel portal charge try ixigocom next time,1
twitter gettin lil bit confusin twitterifictwitdroidtwitterberry understant txt bit tho lol ah well twitter cool anyways,1
finally sleep time,1
best kind gum ever bought pack,2
heater blew,0
tried failed,0
finished mine part remarkably difficult cramming kanji,0
everyones tweet britain got talent feel left,0
yay mother day love mi madre,2
wouldnt reverse overdraft fee,0
nne im good day,0
miss soulja boy dance,0
woke came realization put much want need drop friend dammit,0
day left freedom really want get weekend hate essay,0
lol guy awesome,2
home good night world,2
really cute,2
got alot runnin around today get job app completed file glad got job,2
lappy charger completely dead conserving whats left battery afford buy new one,0
well must say lucky guess mean chillin concert huh,1
happy mother day mom around world love mine anything world cant wait celebrate woo,2
put real pic im going miss avatar,0
folio work keep getting distracted deb pic,0
sad border guerrilla gardening book otherwise lovely relaxing day,1
cant sleep cant find grandmother quilt locket im sick cause may lost somehow stolen,0
take bad dog pet hotelso sad,0
hit sheet,1
wish ipod need jonas miss sexy voice jb forever,1
watching gilmore girl rerun dont know else day,1
wow hot miserable people probably killing right,0
thanks mama absolutely adore,2
ohh snapp fun,1
sitting waiting exam start,1
dont think ive ever tried peanut butter toast,1
would he premiering avatar footage cant also better hang,2
home chelseas jam session chelsea abby luh,2
well visiting grandparent later btw heard katy perry hook whew cool love kclarksons version,2
sweet haha like super proud new mom feel like got perfect daughter great mom,2
gosh im bored earlyn wanna goto sleeeepp work kay,0
im sure shell fine theyre daft look sometime,1
ha id give kristen plenty free hug sigh could,1
yes mac werent expensive,1
hate cottage cheese even got fancy stuff last weekend lemon berriesi could eat half,0
link isnt working,1
need go bank,1
come estonia know epic horse hehe good trainer good beach ride,2
jonas wow theyre totally amazing theyre awesome,2
got laid stupid economy,0
plan ruined,0
nothing better grandaughter smile nothing feel better big hug grandkids hoot,2
wake darling,1
oh know aprreciate back plan,2
yes would love cowbell,2
umm dont ya mean ship,1
really wanna go australia england,1
slept entire flight woke fact girl beside watching chitty chitty bang bang,1
gym sesh,1
trying get sleep mum blaring le mi really loudly sitting room,0
dont think im gonna able go see jb concertwrong time close,0
im sad panda hulu doesnt elephant show skinnamarinkydinkydink sing alongs,0
whats happened dm need txt phone defunkd,1
word minute speech teen movie due wednesday blah blah cant wait glenn ball,1
im gonna cry went bad history test really hate history,0
got couldnt sleep anymore guess im really gonna go back bed im really sleepy,1
going work,1
agree whole hollie thing,1
truetrue he xd,2
sad missed going away party due much work really gonna miss kid,0
ive come conclusion lemongrass chicken taste like lysol much lunch,1
one random phone call ever god kill,0
criminy cuteness sinfest,2
neighborhood gas station gone kaput business convenient trip ice whatevs mile travel,0
tomorrow mother day n si gonna make onigiri mom gonna kewl cant wait tomorrow,2
make sad people phone sick,0
taking care sick child,2
welcome life,2
event writing song finished tmnt v mmpr song im excited record wednesday,2
yup way early im already work,1
oh sweet ill definitely check get chance,2
youuuure aaass aaass loooool,0
want ride bicycle today cold cloudy today,0
important person,1
thats said like though going steady though,1
thank one day time right,2
missed mine fun,0
via found geocache head probably find day,1
let dream spock goodnight,1
e thanks following nice meet,2
danny cut beautiful curl,0
god good,2
forcing watch movie book report im lazy read,0
thanks amy full hotness,2
dont think take needle watched horribly gory short film drug month ago im scarred life,0
finished watching last star war,1
thanks,1
cant arsed get bed hello sunshine,0
every pair jean nowadays tight think mah butt gettin big oh,0
bought two top scarf yesterdaysister successfully hijacked morning wear breakfast removing tag,1
btw realize profile pic make look much older say,1
aw sorry e hope look lame ear there always next year lamer ear fail uhhlove ya e,1
tinycc doesnt seem load thinking going batting cage apparently gotta book adv,1
cheese onion vinegar taste weird crisp england got load weird crisp flavorus lol like x,0
thank yooou might get seen hm,2
ohh grandpa stable wont kno detail til tomorrow visit keep fam ur prayersthank goodnite,2
sore throat good four performance weekend,0
handwriting isnt everyone making fun im sitting myseld lrc,0
disappointed talent lineup reventã¯â¿â½n super estrella hmmhave feeling wont get tix time around,0
ppl year anniversary video come break,1
come im merci btw always inspired since teenager,2
crappy,0
freezing cold cant function right type weather starving max,0
anyone ever heavy feeling sadness heart thats case rite,0
haha sorry hear,1
kk closing get,0
he old school burnouts lap around track like used nascar,1
hannah slept last night gave bottle went right back sleep im lol,1
aww could would gby,2
ate many kiss,0
thanks warning good thing heart unbreakable,2
everyone place tomorrow bonfire tofu dog austin power,1
like youre stuff strange voicemail,2
well done happy ya,2
ok yes infact chatted earlier nbin well,1
well bro,1
im sorry wish instead would give good excuse get away hehei love,1
true form bank holiday monday look like might rainy hope hold til later familyfriends plan walk picnic today,2
call number uk really want call u dont know xxxxxx,1
think fml changed lml love life,2
ha im giving spymaster chance curious miss u,0
ah thought management fiat fiat oh well shripriya shri one must shorten,1
love nd half even day orch jazz band daddy,2
tired turning internet play morning,0
watching walleits cute sad,1
happy star war day,2
got notified podcast accepted itunes course realized miss formated fixed,0
heyythnxxorinvitingmetourpartyrobillbedownthereonjunethillmissuwhenugotoitaly txtmehon,2
tired summer already,0
mite article trib bout portia keep eye,1
ive given pizza kid would never let fav hot one,0
im hangin cousin holly tlkin grandparent phone went dead,0
thats great,2
princess sakura mine therefor want use tj grr,1
wish could teach dog play xbox alasno thumb,0
cleaning room found took wv insisted paying ticket,1
thanks im totally bushed today though time coding,2
still making icon,1
gonna go bed night tweeter dont think sleep hahah nite,1
waiting turn wii fit gym closed,1
omg sun glimpsing cloud woohoo,2
haha yea feel like taken wrong direction used cool place mess,0
shes must truly amazing woman phenomenal son,2
nicei cleared head,2
think itll like casual attendance instead review might another issue felix thanks,1
pic didnt show boo pic site show,1
baby need right right,1
umm get ready help mum give gj present get could wait people arrive party,2
together,1
another prof pic,1
happy mother day mom,2
im gonna buy onenor two three ultimate slaughter machine,1
asylm yay registered lost friend,0
church bellss ringin got go adieugod bless german,2
still feel like craaaap like everyone earth need know lol fun birdie,1
watching dor utv movie great performance,2
u watch spelling bee contest winner kavya shivshankar impressive performance even heared word b,2
probably weather,0
relaxation much thing list really much,1
got message twitter freak,1
wonder hate driving country road stuff,0
heading longband practice last one first show saturday night hope good one,2
say happy mother day mom,2
sorry hear news,0
ive place flown since moving north really pretty area flying expensive,1
sad daniel leaving florida gave big hug,0
mother dayi already bought gave mother day present mother,2
best friend leaving go back school todayi sad,0
hey u follower atl,1
pm perrrfect universal alignment,1
new nick name arosh like like,2
bored decided iron baju sklh thn realized hate tht iron sleeve hahaha im schl,1
trump casino vega,1
jimski book yes,1
ilooked phone book ur name first show like got titi number ur email,1
asks karma point please,1
officially booked seattle going best birthday weekend ever made sad,1
carter link doesnt work,1
mother day gone work today witht camera little hopefully,1
guess get load email people asking stuff al time seriously wonder ever read comment x,0
late nothin,1
ahh love chinese music haha gonna see luff til thursday,2
people peoplenooooo id never guessed thtidiotim grouchy,0
see hannah klein lookin good today,2
aha marie brother wallpaper phone dolly sheep aha im loling,2
saying wrong linkit cannot find address,1
know kittie professional,1
sending blessing,2
ahh ok enjoy ill miss,1
tonight tv viewing bgt hignfy reggie perrin wont tweeting however minic hidden ipod,1
mudweight hauled last time,0
dislocated knee badpainful time gas air morphine fun though,1
cant belief already monday weekend went soooo fast keeping finger crossed,0
barack obama legend watched dinner speach pretty funny,2
got whooped jason bradbury ace,1
ouch wont miami tomorrow morning suck cruise driving back next saturday,0
sadd last night fl going back ar tomorrow,0
according mary chaayaa look like sexy emo dp emo,1
sound awesome,2
well tricky one would say,1
school start june two day go still dont want l,0
still internet today,1
tbh credit phone sux cant even text people see whats happening like totally grrrsville,0
gahhhh homework masterchef half hour hahah recruit,1
month bad month try get advert together kobold quarterly,0
im concerned family,2
idk cant,0
get spam college email account way rub graduation,0
im much tune word today thanks,2
gonna get got bitten,0
im sad missed calling time got home practice late,0
im jealous im slaving away store youre chilling boat,0
get bored routine lol,1
drink responsibly mean please share tip two youre drunk right,1
got early pay bill figured like bandaid get quickly wont bad wrong,0
ooh work im afarid looking forward sunny weekeknd tho,0
watch lowkey freestyling selling mixtape performing norwich tonight,1
feel sorry bestie good luck ali,1
need one thinking earlier today downloaded picture via usb evernoteeyefi,1
putting new consultant work week good feeling congrats offer,2
oh gosh want party done already,1
ive totally got job tell,1
snappys delivered tea ice cream love sister,2
eek cant wait see well everyone elses gahh dont know want lol,1
friday freakin happy today annoying day buuut weekend tgif,2
yep itll awesome max haha,2
heading poole around ish serious gardening go tweetdeck til sunday evening,0
sick rigging tomorrow,0
go dreaded dmv tomorrow,0
way nottingham icof tonight gig umtil download fail,0
jasper clip first favorite twitter message,1
hey r u back la right nowwhat ur favorite part bout europe ive never country xcept canada xo jenna,0
quiet unfortunatly hell good chill right,1
wish could time xbox project tied,2
right trip,1
ember yay thanks coveri sad ang alist please,1
yay love host money breakfast jenna lee hr amazing pretty sexy jenna lee yay,2
gutted kitchen empty literally empty even kidding im hungry,0
darn thought meant white sox,1
jtv gone minute youre already showing boobage without,0
got work take whole day great bos,2
poor lmao stick head window,0
etherreal main preoccupation etherreals preoccupation humm schizophrenic,0
dohh old never heard im last year,0
instrumentalist like give singer hard time vocalist job toughest heshe sick,0
got nashville ihop staff hit dougie mayne night,2
miss matt today,0
shift go birthday getting excited im turning mean im almost,1
feeling tempted high volume jeep start acura wave,1
inorite humid well,1
heading back home win,2
stomach hurt,0
good luck pressure test dont worry everything great,2
really wish could,2
im conflicted really like mike still feeling darrin really complicated dont know,0
cant,1
yes maybe today write,1
noticed yesterday tooim actually really happy startrek,2
back frizz head,1
okay yesterday good went food shopping cooked chicken taco bakes cooky back work,2
looking photo shoot picscheck myspace pic see themi love,2
walkathon morning im among first arrived finishing line,1
little beetle feeling love search bring zilch bar peep appear funny,2
thank ye vaneta much appreciated,2
bitter hug,1
went see hannah montana movie wiv jodie friday well good feel nasty laughing lil girl cryed lol,1
saw family five get motor home laundromat clean clothes bedding,1
lol going isnt easy used,0
quite peacock oceanographer choice new favorite play,2
yeahhh uve got plenty great fan spain u come play gig,2
im lunch already ur lil late buddy,1
ugh nothing valley seriously gotta move,0
keyboard cat ishas dead year play keyboard cat,1
delicious let walk sometimes hubby others miss,1
sorry jj missed post ill make sure next time,1
deg c tech room major downside lot heat doesnt help hot outside,0
wow last hour twittering ive yet sent twitter guy bare w,0
squabbling people internet great tumblarity bad ego internet friend,1
hun yes yes,1
leigh thank trying stay positive head space keep pushing hows thing end,2
exam commmmmiinnnnnggggggg,1
enjoyed week work back next week,2
im come try find fan,2
hey know ya dont know wanted say yopu helped lot iraq wanted thank,2
feeling tierd much college work,0
mmmreconsituted meat product weekold veggiesgotta love rehydrated warm milk breakfast,2
oh say aint,0
hope join youll find one,1
thank god overcast ivory trying get mom take lunch egh doesnt look like gonna work,2
cant thank enough nitin,2
sadly late traceycakes got elsewhere still yummy tea w wee wknd,1
well piss cant get site work come thru phone,0
post guitar hero kicking,0
dont like kde since ver like vista fail,0
woke making breakfast,1
formerly pretty car,1
thought hubby deployed n got blue need stiff drink im breastfeeding booze ugh,1
need motivation life oh love would nice,2
welcome,2
cant wait start weekend im sick working selfmedicate im fresh herb,0
itx credit unfortunately,0
ugly gray outside even san diego cold get maygray junegloom u,0
know mean,1
cooky good,2
loved happy birthday said sounded like mixture john lennon chrissie hynde janis joplin,2
griffith good atmos decided stay til closing funny,2
supporting superfly way,2
would lime lemon deal sound fabulous text youre back,2
dont make feel like used,0
start true franchise online mode dynasty huge madden online league much,1
im trouble finding really yummy egg free icecream favoriteicecream got recommendation anyone,1
tea break cant wait drive home tonite,1
watching mock week slowing cooking,1
unfortunately didnt leave house time,0
twubbing,1
da heck garage man get ask,0
ok feel like need cry cant believe less year ill walking across stage get high school diploma,1
got ipod touch downloading apps,1
hey hey happy mother day,2
lol friday saturday lol im australia,1
alfradique fun well hopefully dont much go,2
night im trying get bed early oncewell early normal person,1
mother daylove madre chels tonight cant wait see present,2
conference call hp gave invalid pas code cant attend,0
going sleep back hourslol good night,1
good place eat los angeles want try something different today,1
fuze giving away cape komens race cure today id always love hug hun,2
im suppose get go find sumthin wear tomorrow cant get,1
yo woke groggily walked office sleeping lap,1
lab informs logic board dead well farking expensive replace dont know mypowerbookgrip,0
hit view myspace thanks everyone,2
still sick bout play p till laker game start,1
second year,1
eatin dinna herd tom brady movin fast,1
im ready baby tomorrow growing fast,2
woke morning thinking saturday,1
cd know heart really tal think intro country music,1
glad like took around half hour would less kept stopping food break haha,1
last class one final tomorrow final friday,1
lao mein spanikopita haha would know,2
p wish coming tonight,0
hate feeling like need break away everyone soon exam im defo portsmouth bit,0
head hurt wait see new photoshoot,1
goodmorning everyone,2
think finale thought kind cheap way,0
vivid dream last night crooning away,1
long day dancin travelin celebrating life happy mother day,2
always one time always late wanna sleep miss mere,0
want invite sick seeing link people playing left,0
still sending much tweet philippine tour please,1
miss puppy,0
abusing service manual follower management pain love style,1
san jose good time w bros also helped dad edit next holy land brochure wish could go,2
excited tomorrow gotta clean house clean clean clean ahhhhhhh,1
hows fam well hope,2
blonde keep failing driver license testeverytime stopped jumped back seat,0
come rochester nikki beer hog roast always help,2
thank,2
slowly crunching reality june fast approaching word class another year added age,1
guess r sleepin,1
put mohawk son headhe killed vibe always,0
well shes getting,2
kickboxing class today pretty bummed still going work hard,0
alone weekend,0
wishing michou show right god life isnt fair,1
poor dead josh please leave message condolence boy rip,0
watching rain reminiscing time everytime rained love life,2
got sunburn coney island bike ride,1
hey didnt get email yet,1
much hair fall everytime shower sad disgusting,0
pff life suck sometimes,0
wish laptop charger could tweet faster,0
show time baby bye bye tweeter,1
chicken chip,1
waaah asshat cv yesterday shortchanged paid chip,0
happy mom day spain last sunday hint first single radio lym mini,2
nope kicked habit year ago,1
sexy tube sticking stomach thanks,2
early morning first portmeirion home,1
listening david archuleta album amazing,2
awwthats bummer,0
dont wanna im spanish today,0
missin ia guy really,1
lol haha funnyyy lol im talking bestfriend ashleyyyy,1
yep good morning night evening whatever xd,2
workk yay,2
certainly spring vail co raining snowing doesnt mother nature know mountain closed ski season,1
hameron ive seen already link lj post,1
aww thank soulmate haha,2
carscarscarsi need one ha ha one found last night wanted bad sold,0
reyour joint w crazy thx hey trax heard er rear ended,2
za thanks man cant wait,2
fedex pizza cancel nyc trip later summer,1
havent started packing,1
ive best buy target still electrik red album im loosing hopetheyve never even heard girl,0
sent home yest work today feel like hell burning high temp got hubby,0
great exercise sunday morning stopping wheel karma raw transforming negativity love life,2
like startrek personal feel startrek movie better xmen,1
yes yes yes lotsa fun cant wait dont like make shaun much front tho co ill get awkard haha,2
ur anti understood message sorry left ur dont vote bnp msg end due space,1
thank kirst post running inspired,2
wanna crawl desk take nap nvrmind dirty,0
gonna go see sister mount saini shes least another hour,1
okay someplease save watching ninja warrier eating egg roll last night,0
im still bed laptop yep borin,1
happy mother day,2
looking girl name easier looking boy,1
excellent point,2
oh twas brilliant idea say say im idea woman,2
thats actually far truth,1
good morning return willen island spring definitely sprung enjoy,2
watching one fine day eating cereal start good sunday good movie,2
concord irvine ca thats,1
omg sore shoulder,0
youre welcome cutiepie kiddo picture btw love shade,2
gmornin twitterville took day tweetn yesterday im jonesing get back today,1
goin ta bed goodnite jessica,2
lmao witty wackoloves,2
refuse get excited dont want let happens long june id die,0
dont believe would believe bring horizon chill go spine whenever hear line,0
love day school one friday,2
u never sent carrie ur miss,0
booooo senior yearbook suck thanks memory bh,1
heyy terrence u come school may th talent show,1
there much light pollution see star,0
sick n tired people steal people work,0
back bed,1
im trouble viewing well tube reason,0
wasnt workin hour id gettin ratarsed point couldnt even see let alone stand upthat feel,0
warmfuzzies friend,2
really miss,0
happy sunday,2
please let know allright de need know first wake little enjoy cofee,2
well maybe someone care,2
wasnt nice,0
slaving away work,0
u tweeps dont forget call mom today,2
fml ran mile got scraped yearbook got math test eff today,1
haha agree test dummy go say whatever want always love magic,2
dont work saturday suppose hang friend watch still hang jonas,0
going tmobile need new phone g working anymore,0
raaaaaaaaaaagh early morning even early must leave work minute,1
go,1
ooo yuk thats good im retching tweet,0
mm film usually handled fuji oh met girl san diego kwento soon miss youuu,0
lol thats p less ive got towards cruise,1
seized bolt ya still stuck bushing actually seized bolt lame perhaps heat work,0
hearing song brighten someone day always make grin,2
r tweet peopleoh thats rightthey opened houseofrock last night theyre still bed,1
working canada shoot information coming way soon expressed interest email address eh,1
mrsbates left,1
hate broken wrist pe next ugh,0
watching snl guess justin timberlakeomg funny hahahah,2
last day cgi,1
say hi buy shot lol jk,1
thank playing moment ago actually different even chill version spooky haha,1
well bedcant wait party mother day like hour,2
gonna mad hungry get home forgot money,0
guy coming alabamayou supposed tonight cancelledi great seat,1
hey plz look u think plz tell,1
bouvierbday trending topic ahh happy birthday pierre bouvier,2
come apart easy enough,2
sadly brother told skateparks life bummer,0
tell x email pic officialshew,1
heaos keen next weekend mummy,2
hate stupid boy arrgh,0
hi m fussy wave,1
hope didnt take quote personally ive throwing dayguess shoulda waited bit,0
sound like youre great time,2
spelled name wrong message received,1
email pic ur labtop wana put one background,1
british expat tweet tommy giant sprout especially fly part sprout seaso,1
im going work married wud never see,0
weird maybe update arent sent phone haha,0
sleepover nobody stop there camera hand,1
wish would rainbut wont,1
amazing day boyfriend he good drummer,2
pansy wtf codeh,0
know extra hand comment would cause trouble upload house music beyond vol,0
going dont know taylordoltonjacob chris sister,1
got back run im feeling grrrrrreeeeeaat,2
come,1
yes want keep going would,2
sunburn ouch,0
fun time thats friend beer here pic,2
appears im going home tomorrowand good thing,0
graduation ceremony starting really wish could,2
hahaha omg got hr sleep,1
love make happy,2
thanks sending link,2
arrrr better half made brekkie bed weather gud black country day wont let put damper planned bbq,1
wish u could rub head,2
hodges yup loss,0
im sadill miss grandma angie always like rd grandma,0
ohhhh reminds know one send toothpaste,1
inlove scanton thats farrr elaine got cartilage pierced cute,2
wake please,0
would applaud selfvalidation sort good theological psychological sociological reason agree lighten,2
really im alumnus dont know didnt mac yet,1
im sorry,0
rained,1
lol exam didnt go mcast school finished form thats soo disappointed,0
message teasing isnt fair,0
way comment site unless member,1
asked sf schedule dahlingmaybe next time,1
ack read show thats horrible accounting taste,0
thx ur msg awesome luv new single xoxo,2
urban outfitter taunt amazing clothing thats way expensive,1
last week interviewed told fb queen glad see connected,2
gonna ask wanted go club hidden house sat night hehe,2
headed back baltimore tonight,1
ive well thx getting early morning meeting wondering agreed dont like getting early,1
writing making sense,1
word counting hand hurt,0
dont pop well feel lousier playing,0
laughed loud bus reading statement ethic people moved away,1
play wish jordan knight,1
hi x website soo cool love using thank,2
ordered new shirt,1
pretty soon gonna unfollow word cut quickly growing habit love challenge,2
omggg heard someone gonna die new season secret life american teenager noooo,0
cant find shoe hope bad itll get nite im happy,1
im getting ready tonight teacher dinner beach raining hate,0
got,1
know told didnt want stay home lied really want stay home,1
happy,0
gaba haha think let topic drop quick poll would settle matter dont believe,1
wish see clip show hosted hottie shawn yes still hottie,2
bright sideno school,2
must viewed picture saturday morning milling time x,1
listening watching boy guitar hero,1
turned fast food,0
hate getting email going stuff nowice toe long story calpol cold soooo night xxxx,0
rockstar umm bout emaint get see da game see dey survived anotha game da series due notin lebron im guessin,1
hey tried callin u wont let,1
depressed watching think dance,0
home form schoolits long weekend ppl would happy im notim still mad sad,1
life exciting today someone close mardy bum starting rub,1
miss nanny,0
allison catch later terry,1
kyle cody wee bro,1
oh understand french well maybe exxagerated little bit lol want least year exp,1
pea plant,1
think castle fun,2
anthony prom,1
home day scale one ten feel old compare haha cute,1
move anywhere long freaking dishwasher despise dish,0
im ok year old going driving crazy come territory guess,0
poor kella med ear infection lost food twice doc,0
yes right church,2
trying find someone go mall,1
dhellohannah please follow need follower haha,1
hmstill workin contracthmmim feelin awful,0
totally forgot phone home morning,0
proud yearold love carpenter,2
feel sick stomach idkk whyy,0
work go,1
cute twitting potuguese,2
hey bud shot email,1
